mese,fascia età,regione,valore predetto
2021-06-01,60-69,Emilia-Romagna,6522.157
2021-06-01,60-69,Lazio,6788.206
2021-06-01,60-69,Toscana,7505.135
2021-06-01,60-69,Lombardia,8792.96
2021-06-01,70-79,Veneto,1955.148
2021-06-01,70-79,Piemonte,2192.643
2021-06-01,70-79,Toscana,2297.254
2021-06-01,70-79,Sicilia,3033.729
2021-06-01,70-79,Lombardia,4605.281
2021-06-01,80-89,Piemonte,538.553
2021-06-01,80-89,Campania,639.97
2021-06-01,80-89,Toscana,771.922
2021-06-01,80-89,Lombardia,948.929
2021-06-01,80-89,Sicilia,951.98
2021-06-01,90+,Emilia-Romagna,113.183
2021-06-01,90+,Veneto,181.042
2021-06-01,90+,Campania,243.759
2021-06-01,90+,Lombardia,290.869
2021-06-01,90+,Sicilia,374.355
